weekend,rank,destination,airport,google_total,currency,passengers,outbound_example,outbound_stops,checked_at,google_search_url
9–12 Oct,21,Split,SPU,392.0,EUR,1,SN3820 LIS-BRU 19:55-23:40 / SN3353 BRU-SPU 12:10-14:10,1,2026-09-09T08:50:09+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNTUFUaHhIKMjAyNi0xMC0xMigBQBBqBRIDU1BVcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,22,Edinburgh,EDI,401.0,EUR,1,KL1586 LIS-AMS 19:45-23:40 / KL923 AMS-EDI 08:05-08:30,1,2026-09-09T08:50:08+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNFREkaHhIKMjAyNi0xMC0xMigBQBBqBRIDRURJcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,23,Glasgow,GLA,444.0,EUR,1,BA505 LIS-LHR 16:30-19:15 / BA1498 LHR-GLA 21:15-22:30,1,2026-09-09T08:50:08+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNHTEEaHhIKMjAyNi0xMC0xMigBQBBqBRIDR0xBcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,24,Zagreb,ZAG,451.0,EUR,1,A3723 LIS-ATH 23:50-05:45 / A3780 ATH-ZAG 17:25-18:25,1,2026-09-09T08:50:09+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNaQUcaHhIKMjAyNi0xMC0xMigBQBBqBRIDWkFHcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,25,Pisa / Cinque Terre,PSA,470.0,EUR,1,TP574 LIS-FRA 18:10-22:20 / EN8870 FRA-PSA 08:05-09:40,1,2026-09-09T08:50:06+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNQU0EaHhIKMjAyNi0xMC0xMigBQBBqBRIDUFNBcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,26,Genoa / Cinque Terre,GOA,484.0,EUR,1,TP838 LIS-FCO 20:25-00:25 / AZ1383 FCO-GOA 09:25-10:35,1,2026-09-09T08:50:06+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNHT0EaHhIKMjAyNi0xMC0xMigBQBBqBRIDR09BcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,27,Rovaniemi,RVN,559.0,EUR,1,AY1740 LIS-HEL 16:35-23:10 / AY531 HEL-RVN 07:05-08:20,1,2026-09-09T08:50:06+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNSVk4aHhIKMjAyNi0xMC0xMigBQBBqBRIDUlZOcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,28,Bergen,BGO,561.0,EUR,1,AF1195 LIS-CDG 18:50-22:20 / AF1252 CDG-BGO 09:05-11:20,1,2026-09-09T08:50:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNCR08aHhIKMjAyNi0xMC0xMigBQBBqBRIDQkdPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,29,Shannon / Cliffs of Moher,SNN,628.0,EUR,1,BA507 LIS-LHR 18:55-21:40 / EI381 LHR-SNN 09:50-11:20,1,2026-09-09T08:50:04+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNTTk4aHhIKMjAyNi0xMC0xMigBQBBqBRIDU05OcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,30,Reykjavík,KEF,1724.0,EUR,1,TP1907 LIS-FAO 23:00-23:50 / FI959 FAO-KEF 16:30-20:05,1,2026-09-09T08:50:05+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNLRUYaHhIKMjAyNi0xMC0xMigBQBBqBRIDS0VGcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,1,Rome,FCO,156.0,EUR,1,W46220 LIS-FCO 21:15-01:10,0,2026-09-09T08:50:15+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNGQ08aHhIKMjAyNi0xMC0xOSgBQBBqBRIDRkNPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,2,Nice,NCE,159.0,EUR,1,TP484 LIS-NCE 20:35-00:05,0,2026-09-09T08:50:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNOQ0UaHhIKMjAyNi0xMC0xOSgBQBBqBRIDTkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,3,London Gatwick,LGW,162.0,EUR,1,U28518 LIS-LGW 20:45-23:30,0,2026-09-09T08:50:18+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNMR1caHhIKMjAyNi0xMC0xOSgBQBBqBRIDTEdXcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,4,London Luton,LTN,178.0,EUR,1,U22464 LIS-LTN 21:50-00:25,0,2026-09-09T08:50:18+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNMVE4aHhIKMjAyNi0xMC0xOSgBQBBqBRIDTFROcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,5,Milan Malpensa,MXP,198.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY6336 BCN-MXP 08:45-10:25,1,2026-09-09T08:50:15+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNNWFAaHhIKMjAyNi0xMC0xOSgBQBBqBRIDTVhQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,6,Madeira,FNC,199.0,EUR,1,TP1938 LIS-OPO 23:45-00:40 / TP1701 OPO-FNC 05:45-07:50,1,2026-09-09T08:50:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNGTkMaHhIKMjAyNi0xMC0xOSgBQBBqBRIDRk5DcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,7,Venice,VCE,209.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY6408 BCN-VCE 10:00-11:50,1,2026-09-09T08:50:15+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNWQ0UaHhIKMjAyNi0xMC0xOSgBQBBqBRIDVkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,8,London Heathrow,LHR,230.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY6650 BCN-LHR 07:30-09:10,1,2026-09-09T08:50:18+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNMSFIaHhIKMjAyNi0xMC0xOSgBQBBqBRIDTEhScgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,9,Naples,NAP,318.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY6500 BCN-NAP 07:20-09:20,1,2026-09-09T08:50:15+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNOQVAaHhIKMjAyNi0xMC0xOSgBQBBqBRIDTkFQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,10,Prague,PRG,345.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY8652 BCN-PRG 07:45-10:15,1,2026-09-09T08:50:17+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNQUkcaHhIKMjAyNi0xMC0xOSgBQBBqBRIDUFJHcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,11,Berlin,BER,376.0,EUR,1,EW603 LIS-CGN 21:05-01:05 / EW8051 CGN-BER 08:00-09:10,1,2026-09-09T08:50:16+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNCRVIaHhIKMjAyNi0xMC0xOSgBQBBqBRIDQkVScgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,12,Copenhagen,CPH,386.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY1870 BCN-CPH 07:40-10:40,1,2026-09-09T08:50:17+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNDUEgaHhIKMjAyNi0xMC0xOSgBQBBqBRIDQ1BIcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,13,Dubrovnik,DBV,400.0,EUR,1,VY8463 LIS-BCN 21:15-00:10 / VY7720 BCN-DBV 12:05-14:25,1,2026-09-09T08:50:17+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNEQlYaHhIKMjAyNi0xMC0xOSgBQBBqBRIDREJWcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,14,Split,SPU,424.0,EUR,1,TP646 LIS-BRU 20:05-23:55 / SN3353 BRU-SPU 12:10-14:10,1,2026-09-09T08:50:17+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNTUFUaHhIKMjAyNi0xMC0xOSgBQBBqBRIDU1BVcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
