weekend,rank,destination,airport,google_total,currency,passengers,outbound_example,outbound_stops,checked_at,google_search_url
25–28 Sep,1,Porto,OPO,283.0,EUR,2,TP1934 LIS-OPO 19:30-20:25,0,2026-09-08T22:55:13+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNPUE8aHhIKMjAyNi0wOS0yOCgBQBBqBRIDT1BPcgUSA0xJU0ICAQFIAWD0A4gBAZgBAQ&hl=en&gl=PT&curr=EUR
25–28 Sep,2,Madrid,MAD,290.0,EUR,2,U27689 LIS-MAD 18:50-21:10,0,2026-09-08T22:55:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0wOS0yOCgBQBBqBRIDTUFEcgUSA0xJU0ICAQFIAWD0A4gBAZgBAQ&hl=en&gl=PT&curr=EUR
25–28 Sep,3,Barcelona,BCN,352.0,EUR,2,VY8465 LIS-BCN 22:10-01:05,0,2026-09-08T22:55:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNCQ04aHhIKMjAyNi0wOS0yOCgBQBBqBRIDQkNOcgUSA0xJU0ICAQFIAWD0A4gBAZgBAQ&hl=en&gl=PT&curr=EUR
25–28 Sep,4,Nice,NCE,378.0,EUR,2,U27611 LIS-NCE 16:55-20:20,0,2026-09-08T22:55:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNOQ0UaHhIKMjAyNi0wOS0yOCgBQBBqBRIDTkNFcgUSA0xJU0ICAQFIAWD0A4gBAZgBAQ&hl=en&gl=PT&curr=EUR
25–28 Sep,5,Madeira,FNC,384.0,EUR,2,U27627 LIS-FNC 18:30-20:20,0,2026-09-08T22:55:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNGTkMaHhIKMjAyNi0wOS0yOCgBQBBqBRIDRk5DcgUSA0xJU0ICAQFIAWD0A4gBAZgBAQ&hl=en&gl=PT&curr=EUR
