weekend,rank,destination,airport,google_total,currency,passengers,outbound_example,outbound_stops,checked_at,google_search_url
4–7 Dec,1,Madrid,MAD,60.0,EUR,1,IB538 LIS-MAD 20:45-23:10,0,2026-09-09T08:55:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMDQoAUAQagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0xMi0wNygBQBBqBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
4–7 Dec,2,Barcelona,BCN,62.0,EUR,1,U27681 LIS-BCN 18:25-21:20,0,2026-09-09T08:55:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMDQoAUAQagUSA0xJU3IFEgNCQ04aHhIKMjAyNi0xMi0wNygBQBBqBRIDQkNOcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
4–7 Dec,3,Nice,NCE,73.0,EUR,1,U27617 LIS-NCE 17:00-20:30,0,2026-09-09T08:57:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMDQoAUAQagUSA0xJU3IFEgNOQ0UaHhIKMjAyNi0xMi0wNygBQBBqBRIDTkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
4–7 Dec,4,Seville,SVQ,77.0,EUR,1,FR3628 LIS-SVQ 21:05-23:10,0,2026-09-09T08:58:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMDQoAUAQagUSA0xJU3IFEgNTVlEaHhIKMjAyNi0xMi0wNygBQBBqBRIDU1ZRcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
4–7 Dec,5,London Gatwick,LGW,90.0,EUR,1,U28512 LIS-LGW 16:45-19:30,0,2026-09-09T08:55:16+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMDQoAUAQagUSA0xJU3IFEgNMR1caHhIKMjAyNi0xMi0wNygBQBBqBRIDTEdXcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
11–14 Dec,1,Seville,SVQ,45.0,EUR,1,FR3628 LIS-SVQ 21:05-23:10,0,2026-09-09T08:55:29+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTEoAUALagUSA0xJU3IFEgNTVlEaHhIKMjAyNi0xMi0xNCgBQA5qBRIDU1ZRcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
11–14 Dec,2,Madrid,MAD,51.0,EUR,1,UX1156 LIS-MAD 16:05-18:20,0,2026-09-09T08:55:29+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTEoAUALagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0xMi0xNCgBQA5qBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
11–14 Dec,3,Barcelona,BCN,57.0,EUR,1,U27681 LIS-BCN 18:25-21:20,0,2026-09-09T08:55:29+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTEoAUALagUSA0xJU3IFEgNCQ04aHhIKMjAyNi0xMi0xNCgBQA5qBRIDQkNOcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
11–14 Dec,4,Bilbao,BIO,58.0,EUR,1,VY6503 LIS-BIO 13:50-16:30,0,2026-09-09T08:55:29+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTEoAUALagUSA0xJU3IFEgNCSU8aHhIKMjAyNi0xMi0xNCgBQA5qBRIDQklPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
11–14 Dec,5,Madeira,FNC,58.0,EUR,1,U27621 LIS-FNC 17:45-19:35,0,2026-09-09T08:55:28+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTEoAUALagUSA0xJU3IFEgNGTkMaHhIKMjAyNi0xMi0xNCgBQA5qBRIDRk5DcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
17–23 Dec,1,Madrid,MAD,50.0,EUR,1,U27651 LIS-MAD 19:10-21:35,0,2026-09-09T08:58:01+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTcoAUARagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0xMi0yMygBQAxqBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
17–23 Dec,2,Porto,OPO,74.0,EUR,1,TP1934 LIS-OPO 18:00-19:00,0,2026-09-09T08:58:01+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTcoAUARagUSA0xJU3IFEgNPUE8aHhIKMjAyNi0xMi0yMygBQAxqBRIDT1BPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
17–23 Dec,3,Marrakech,RAK,82.0,EUR,1,U27675 LIS-RAK 17:00-18:35,0,2026-09-09T08:55:57+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTcoAUARagUSA0xJU3IFEgNSQUsaHhIKMjAyNi0xMi0yMygBQAxqBRIDUkFLcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
17–23 Dec,4,Barcelona,BCN,85.0,EUR,1,VY1153 LIS-BCN 19:00-21:55,0,2026-09-09T08:55:45+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTcoAUARagUSA0xJU3IFEgNCQ04aHhIKMjAyNi0xMi0yMygBQAxqBRIDQkNOcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
17–23 Dec,5,Bordeaux,BOD,99.0,EUR,1,U27605 LIS-BOD 19:00-21:55,0,2026-09-09T08:55:47+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTItMTcoAUARagUSA0xJU3IFEgNCT0QaHhIKMjAyNi0xMi0yMygBQAxqBRIDQk9EcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
